"homename"	"homecontinent"	"homecountry"	"homelat"	"homelon"	"travellon"	"travellat"
"茅ヶ崎市"	"Asia"	"Japan"	35.3338429	139.4036386	139.56292227	35.29245311
"Bretagne"	"Europe"	"France"	48.2020471	-2.9326435	-3.28359957	47.68413183
"Gdańsk"	"Europe"	"Poland"	54.3520252	18.6466384	21.27056	53.85917
"AUS / Gold Coast"	"Australia"	"Australia"	-28.016667	153.4	153.42979	-28.00634
"Kanagawa,JAPAN"	"Asia"	"Japan"	35.4475073	139.6423446	140.38848341	35.36950518
"Kanagawa,JAPAN"	"Asia"	"Japan"	35.4475073	139.6423446	140.389063	35.3528468
"Missouri"	"North America"	"United States of America"	37.9642529	-91.8318334	-90.27216	38.65282
"Southsea, Cosham "	"Europe"	"United Kingdom"	50.8419238	-1.0672168	-1.0675536	50.8464351
"London"	"Europe"	"United Kingdom"	51.5073509	-0.1277583	-90.31350985	-0.74588779
"around the world"	"North America"	"United States of America"	28.0910625	-80.5674759	2.7207308	39.53456603
"around the world"	"North America"	"United States of America"	28.0910625	-80.5674759	-5.60556	36.0125
"around the world"	"North America"	"United States of America"	28.0910625	-80.5674759	-5.67805556	36.06722222
"around the world"	"North America"	"United States of America"	28.0910625	-80.5674759	-5.77768894	36.20109195
"around the world"	"North America"	"United States of America"	28.0910625	-80.5674759	-5.60556	36.0125
"A Coruña"	"Europe"	"Spain"	43.3623436	-8.4115401	-9.33759982	39.37176167
"A Coruña"	"Europe"	"Spain"	43.3623436	-8.4115401	-8.10993772	43.63945118
"A Coruña"	"Europe"	"Spain"	43.3623436	-8.4115401	-9.0846912	39.60460794
"A Coruña"	"Europe"	"Spain"	43.3623436	-8.4115401	-9.33759982	39.37176167
"Detroit, MI"	"North America"	"United States of America"	42.331427	-83.0457538	-83.23453942	42.32408297
"Los Angeles, CA"	"North America"	"United States of America"	34.0522342	-118.2436849	-118.82884	34.02041
"Los Angeles, CA"	"North America"	"United States of America"	34.0522342	-118.2436849	-120.731474	35.555691
"Montevideo, Uruguay"	"South America"	"Uruguay"	-34.9011127	-56.1645314	-54.94071143	-34.96283872
"London, England"	"Europe"	"United Kingdom"	51.5073509	-0.1277583	11.5833	48.15
"manila"	"Asia"	"Philippines"	14.5995124	120.9842195	120.06493023	15.01948747
"Sao Paulo Brasil"	"South America"	"Brazil"	-23.5505199	-46.6333094	-46.60881	-23.487091
"Viña del Mar, Chile"	"South America"	"Chile"	-33.0153481	-71.5500276	-71.51210623	-32.9200507
"Viña del Mar, Chile"	"South America"	"Chile"	-33.0153481	-71.5500276	-71.51210623	-32.9200507
"Viña del Mar, Chile"	"South America"	"Chile"	-33.0153481	-71.5500276	-71.51210623	-32.9200507
